universe,weight_return_to_volatility,weight_return_to_stress,weight_return_to_drawdown,winner,winner_score
all_unique_zero_breach,0.9,0.0,0.1,Step 4 | Scenario aware,100.0
all_unique_zero_breach,0.9,0.1,0.0,Step 4 | Scenario aware,99.99685769051402
all_unique_zero_breach,1.0,0.0,0.0,Step 4 | Scenario aware,100.0
fully_certified_shortlist,0.0,0.0,1.0,Strict-warning classical,100.0
fully_certified_shortlist,0.0,0.1,0.9,Strict-warning classical,100.0
fully_certified_shortlist,0.0,0.2,0.8,Strict-warning classical,100.0
fully_certified_shortlist,0.0,0.3,0.7,Strict-warning classical,100.0
fully_certified_shortlist,0.0,0.4,0.6,Strict-warning classical,100.0
fully_certified_shortlist,0.0,0.5,0.5,Strict-warning classical,100.0
fully_certified_shortlist,0.0,0.6,0.4,Strict-warning classical,100.0
fully_certified_shortlist,0.0,0.7,0.3,Strict-warning classical,100.0
fully_certified_shortlist,0.0,0.8,0.2,Strict-warning classical,100.0
fully_certified_shortlist,0.0,0.9,0.1,Strict-warning classical,100.0
fully_certified_shortlist,0.0,1.0,0.0,Strict-warning classical,100.0
fully_certified_shortlist,0.1,0.0,0.9,Strict-warning classical,100.0
fully_certified_shortlist,0.1,0.1,0.8,Strict-warning classical,100.0
fully_certified_shortlist,0.1,0.2,0.7,Strict-warning classical,100.0
fully_certified_shortlist,0.1,0.3,0.6,Strict-warning classical,100.0
fully_certified_shortlist,0.1,0.4,0.5,Strict-warning classical,100.0
fully_certified_shortlist,0.1,0.5,0.4,Strict-warning classical,100.0
fully_certified_shortlist,0.1,0.6,0.3,Strict-warning classical,100.0
fully_certified_shortlist,0.1,0.7,0.2,Strict-warning classical,100.0
fully_certified_shortlist,0.1,0.8,0.1,Strict-warning classical,100.0
fully_certified_shortlist,0.1,0.9,0.0,Strict-warning classical,100.0
fully_certified_shortlist,0.2,0.0,0.8,Strict-warning classical,100.0
fully_certified_shortlist,0.2,0.1,0.7,Strict-warning classical,100.0
fully_certified_shortlist,0.2,0.2,0.6,Strict-warning classical,100.0
fully_certified_shortlist,0.2,0.3,0.5,Strict-warning classical,100.0
fully_certified_shortlist,0.2,0.4,0.4,Strict-warning classical,100.0
fully_certified_shortlist,0.2,0.5,0.3,Strict-warning classical,100.0
fully_certified_shortlist,0.2,0.6,0.2,Strict-warning classical,100.0
fully_certified_shortlist,0.2,0.7,0.1,Strict-warning classical,99.99999999999999
fully_certified_shortlist,0.2,0.8,0.0,Strict-warning classical,100.0
fully_certified_shortlist,0.3,0.0,0.7,Strict-warning classical,100.0
fully_certified_shortlist,0.3,0.1,0.6,Strict-warning classical,100.0
fully_certified_shortlist,0.3,0.2,0.5,Strict-warning classical,100.0
fully_certified_shortlist,0.3,0.3,0.4,Strict-warning classical,100.0
fully_certified_shortlist,0.3,0.4,0.3,Strict-warning classical,100.0
fully_certified_shortlist,0.3,0.5,0.2,Strict-warning classical,100.0
fully_certified_shortlist,0.3,0.6,0.1,Strict-warning classical,99.99999999999999
fully_certified_shortlist,0.3,0.7,0.0,Strict-warning classical,100.0
fully_certified_shortlist,0.4,0.0,0.6,Strict-warning classical,100.0
fully_certified_shortlist,0.4,0.1,0.5,Strict-warning classical,100.0
fully_certified_shortlist,0.4,0.2,0.4,Strict-warning classical,100.0
fully_certified_shortlist,0.4,0.3,0.3,Strict-warning classical,100.0
fully_certified_shortlist,0.4,0.4,0.2,Strict-warning classical,100.0
fully_certified_shortlist,0.4,0.5,0.1,Strict-warning classical,100.0
fully_certified_shortlist,0.4,0.6,0.0,Strict-warning classical,100.0
fully_certified_shortlist,0.5,0.0,0.5,Strict-warning classical,100.0
fully_certified_shortlist,0.5,0.1,0.4,Strict-warning classical,100.0
fully_certified_shortlist,0.5,0.2,0.3,Strict-warning classical,100.0
fully_certified_shortlist,0.5,0.3,0.2,Strict-warning classical,100.0
fully_certified_shortlist,0.5,0.4,0.1,Strict-warning classical,100.0
fully_certified_shortlist,0.5,0.5,0.0,Strict-warning classical,100.0
fully_certified_shortlist,0.6,0.0,0.4,Strict-warning classical,100.0
fully_certified_shortlist,0.6,0.1,0.3,Strict-warning classical,100.0
fully_certified_shortlist,0.6,0.2,0.2,Strict-warning classical,100.0
fully_certified_shortlist,0.6,0.3,0.1,Strict-warning classical,99.99999999999999
fully_certified_shortlist,0.6,0.4,0.0,Strict-warning classical,100.0
fully_certified_shortlist,0.7,0.0,0.3,Strict-warning classical,100.0
fully_certified_shortlist,0.7,0.1,0.2,Strict-warning classical,100.0
fully_certified_shortlist,0.7,0.2,0.1,Strict-warning classical,99.99999999999999
fully_certified_shortlist,0.7,0.3,0.0,Strict-warning classical,100.0
fully_certified_shortlist,0.8,0.0,0.2,Strict-warning classical,100.0
fully_certified_shortlist,0.8,0.1,0.1,Strict-warning classical,100.0
fully_certified_shortlist,0.8,0.2,0.0,Strict-warning classical,100.0
fully_certified_shortlist,0.9,0.0,0.1,Strict-warning classical,100.0
fully_certified_shortlist,0.9,0.1,0.0,Strict-warning classical,100.0
fully_certified_shortlist,1.0,0.0,0.0,Strict-warning classical,100.0
