index,weight
SGOV,0.134292
BWX,0.075633
MUB,0.061028
DBMF,0.056122
TIP,0.05
AGG,0.036849
BNDX,0.036839
BND,0.03655
USMV,0.034464
TLT,0.034091
SHY,0.034014
QUAL,0.027163
VTV,0.026642
SCHD,0.026306
EWJ,0.025172
DIA,0.023516
IEF,0.021355
EFA,0.021332
EMB,0.020002
PFF,0.02
