ticker,linear_coefficient
SGOV,-0.999660302796352
BIL,-0.7073611312018252
SHY,-0.3984548750288782
QQQ,-0.8817761439152368
VUG,-0.7086573164689103
MTUM,-0.5985471274913328
SPY,-0.5364313326366005
EWC,-0.5000464254955623
EEM,-0.45708933836970245
VGK,-0.4725555647760435
USMV,-0.4504224893932645
