index,cost_case,expected_total_return,volatility,gross_turnover,total_trading_cost,active_cardinality,cardinality_policy,inferred_active_cardinality_after_cap,selected_tickers
0,base,5.45%,7.87%,11.06%,0.0015%,6,fixed_matched_budget,6,"BIL, MTUM, QQQ, SGOV, SHY, VUG"
1,institutional_high_participation,5.46%,7.95%,10.03%,0.0034%,6,fixed_matched_budget,6,"BIL, MTUM, QQQ, SGOV, SHY, VUG"
