active_balance_strength,covariance_coefficient,impact_coefficient,cost_adjustment_coefficient,best_bitstring,best_energy,selected_tickers,matches_base_support,jaccard_vs_base
1.0,0.04,0.04,0.025,11111100000,-4.072261186240128,"SGOV, BIL, SHY, QQQ, VUG, MTUM",True,1.0
1.0,0.04,0.04,0.05,11111100000,-4.053437223110663,"SGOV, BIL, SHY, QQQ, VUG, MTUM",True,1.0
1.0,0.04,0.04,0.1,11111100000,-4.0157892968517315,"SGOV, BIL, SHY, QQQ, VUG, MTUM",True,1.0
1.0,0.08,0.01,0.025,11111100000,-3.9187201203436546,"SGOV, BIL, SHY, QQQ, VUG, MTUM",True,1.0
1.0,0.08,0.01,0.05,11111100000,-3.8998961572141893,"SGOV, BIL, SHY, QQQ, VUG, MTUM",True,1.0
1.0,0.08,0.01,0.1,11111100000,-3.8622482309552577,"SGOV, BIL, SHY, QQQ, VUG, MTUM",True,1.0
1.0,0.08,0.02,0.025,11111100000,-3.911456210308102,"SGOV, BIL, SHY, QQQ, VUG, MTUM",True,1.0
1.0,0.08,0.02,0.05,11111100000,-3.8926322471786365,"SGOV, BIL, SHY, QQQ, VUG, MTUM",True,1.0
1.0,0.08,0.02,0.1,11111100000,-3.854984320919705,"SGOV, BIL, SHY, QQQ, VUG, MTUM",True,1.0
1.0,0.08,0.04,0.025,11111100000,-3.8969283902369973,"SGOV, BIL, SHY, QQQ, VUG, MTUM",True,1.0
1.0,0.08,0.04,0.05,11111100000,-3.878104427107532,"SGOV, BIL, SHY, QQQ, VUG, MTUM",True,1.0
1.0,0.08,0.04,0.1,11111100000,-3.8404565008486005,"SGOV, BIL, SHY, QQQ, VUG, MTUM",True,1.0
2.0,0.02,0.01,0.025,11111100000,-4.145088076701815,"SGOV, BIL, SHY, QQQ, VUG, MTUM",True,1.0
2.0,0.02,0.01,0.05,11111100000,-4.12626411357235,"SGOV, BIL, SHY, QQQ, VUG, MTUM",True,1.0
2.0,0.02,0.01,0.1,11111100000,-4.088616187313418,"SGOV, BIL, SHY, QQQ, VUG, MTUM",True,1.0
2.0,0.02,0.02,0.025,11111100000,-4.137824166666263,"SGOV, BIL, SHY, QQQ, VUG, MTUM",True,1.0
2.0,0.02,0.02,0.05,11111100000,-4.119000203536798,"SGOV, BIL, SHY, QQQ, VUG, MTUM",True,1.0
2.0,0.02,0.02,0.1,11111100000,-4.081352277277866,"SGOV, BIL, SHY, QQQ, VUG, MTUM",True,1.0
2.0,0.02,0.04,0.025,11111100000,-4.123296346595159,"SGOV, BIL, SHY, QQQ, VUG, MTUM",True,1.0
2.0,0.02,0.04,0.05,11111100000,-4.104472383465693,"SGOV, BIL, SHY, QQQ, VUG, MTUM",True,1.0
2.0,0.02,0.04,0.1,11111100000,-4.066824457206762,"SGOV, BIL, SHY, QQQ, VUG, MTUM",True,1.0
2.0,0.04,0.01,0.025,11111100000,-4.05742167870025,"SGOV, BIL, SHY, QQQ, VUG, MTUM",True,1.0
2.0,0.04,0.01,0.05,11111100000,-4.038597715570785,"SGOV, BIL, SHY, QQQ, VUG, MTUM",True,1.0
