index,weight
SGOV,6.96%
TIP,5.00%
BWX,3.98%
AGG,3.68%
BNDX,3.68%
BND,3.66%
USMV,3.45%
TLT,3.41%
SHY,3.40%
IEF,3.19%
QUAL,2.72%
VTV,2.66%
SCHD,2.63%
SPY,2.48%
DIA,2.35%
EFA,2.13%
MUB,2.04%
HYG,2.03%
IWM,2.01%
EMB,2.00%
PFF,2.00%
EWJ,2.00%
EWA,2.00%
VGK,1.98%
LQD,1.92%
