rank,bitstring,energy,selected_indices,selected_tickers
51,11100010110,-3.373760670289939,"(0, 1, 2, 6, 8, 9)","SGOV, BIL, SHY, SPY, EEM, VGK"
52,11100010101,-3.3515785990239153,"(0, 1, 2, 6, 8, 10)","SGOV, BIL, SHY, SPY, EEM, USMV"
53,11100001011,-3.338864929637603,"(0, 1, 2, 7, 9, 10)","SGOV, BIL, SHY, EWC, VGK, USMV"
54,11100001110,-3.335546018692424,"(0, 1, 2, 7, 8, 9)","SGOV, BIL, SHY, EWC, EEM, VGK"
55,11100001101,-3.315041722721182,"(0, 1, 2, 7, 8, 10)","SGOV, BIL, SHY, EWC, EEM, USMV"
56,11100000111,-3.272954619190951,"(0, 1, 2, 8, 9, 10)","SGOV, BIL, SHY, EEM, VGK, USMV"
57,11000110011,-2.244051609161549,"(0, 1, 5, 6, 9, 10)","SGOV, BIL, MTUM, SPY, VGK, USMV"
58,11000011011,-2.2198985145594627,"(0, 1, 6, 7, 9, 10)","SGOV, BIL, SPY, EWC, VGK, USMV"
59,11001010011,-2.1954620097838307,"(0, 1, 4, 6, 9, 10)","SGOV, BIL, VUG, SPY, VGK, USMV"
60,11000010111,-2.1799673388385132,"(0, 1, 6, 8, 9, 10)","SGOV, BIL, SPY, EEM, VGK, USMV"
61,11000111001,-2.1578605340640005,"(0, 1, 5, 6, 7, 10)","SGOV, BIL, MTUM, SPY, EWC, USMV"
62,11000101011,-2.1549048785999227,"(0, 1, 5, 7, 9, 10)","SGOV, BIL, MTUM, EWC, VGK, USMV"
63,11001100011,-2.119984620239527,"(0, 1, 4, 5, 9, 10)","SGOV, BIL, VUG, MTUM, VGK, USMV"
64,11000110101,-2.118334883125785,"(0, 1, 5, 6, 8, 10)","SGOV, BIL, MTUM, SPY, EEM, USMV"
65,11001110001,-2.1176361419125795,"(0, 1, 4, 5, 6, 10)","SGOV, BIL, VUG, MTUM, SPY, USMV"
66,11000100111,-2.1155380555365118,"(0, 1, 5, 8, 9, 10)","SGOV, BIL, MTUM, EEM, VGK, USMV"
67,11001001011,-2.1038920703384445,"(0, 1, 4, 7, 9, 10)","SGOV, BIL, VUG, EWC, VGK, USMV"
68,11001011001,-2.1032824521900455,"(0, 1, 4, 6, 7, 10)","SGOV, BIL, VUG, SPY, EWC, USMV"
69,11000011101,-2.096619994379535,"(0, 1, 6, 7, 8, 10)","SGOV, BIL, SPY, EWC, EEM, USMV"
70,11000001111,-2.0920843066117154,"(0, 1, 7, 8, 9, 10)","SGOV, BIL, EWC, EEM, VGK, USMV"
71,11001000111,-2.0658793785075797,"(0, 1, 4, 8, 9, 10)","SGOV, BIL, VUG, EEM, VGK, USMV"
72,11001010101,-2.0651109324843766,"(0, 1, 4, 6, 8, 10)","SGOV, BIL, VUG, SPY, EEM, USMV"
73,11000111010,-2.03681468915235,"(0, 1, 5, 6, 7, 9)","SGOV, BIL, MTUM, SPY, EWC, VGK"
74,11010010011,-2.0285792189241816,"(0, 1, 3, 6, 9, 10)","SGOV, BIL, QQQ, SPY, VGK, USMV"
75,11000101101,-2.0277419943639483,"(0, 1, 5, 7, 8, 10)","SGOV, BIL, MTUM, EWC, EEM, USMV"
76,11001101001,-2.0233563459321573,"(0, 1, 4, 5, 7, 10)","SGOV, BIL, VUG, MTUM, EWC, USMV"
77,11000110110,-1.9979124605180565,"(0, 1, 5, 6, 8, 9)","SGOV, BIL, MTUM, SPY, EEM, VGK"
78,11001110010,-1.9867057508078991,"(0, 1, 4, 5, 6, 9)","SGOV, BIL, VUG, MTUM, SPY, VGK"
79,11001100101,-1.9857491788840258,"(0, 1, 4, 5, 8, 10)","SGOV, BIL, VUG, MTUM, EEM, USMV"
80,11000011110,-1.9798502533068434,"(0, 1, 6, 7, 8, 9)","SGOV, BIL, SPY, EWC, EEM, VGK"
81,11001011010,-1.9760047426204006,"(0, 1, 4, 6, 7, 9)","SGOV, BIL, VUG, SPY, EWC, VGK"
82,11001001101,-1.9720948348387808,"(0, 1, 4, 7, 8, 10)","SGOV, BIL, VUG, EWC, EEM, USMV"
83,11010100011,-1.9400465903991906,"(0, 1, 3, 5, 9, 10)","SGOV, BIL, QQQ, MTUM, VGK, USMV"
84,11001010110,-1.9384566452186538,"(0, 1, 4, 6, 8, 9)","SGOV, BIL, VUG, SPY, EEM, VGK"
85,11010001011,-1.9327007367257192,"(0, 1, 3, 7, 9, 10)","SGOV, BIL, QQQ, EWC, VGK, USMV"
86,11010110001,-1.9313210851300981,"(0, 1, 3, 5, 6, 10)","SGOV, BIL, QQQ, MTUM, SPY, USMV"
87,11010011001,-1.9257140916351752,"(0, 1, 3, 6, 7, 10)","SGOV, BIL, QQQ, SPY, EWC, USMV"
88,11000101110,-1.9056417964614383,"(0, 1, 5, 7, 8, 9)","SGOV, BIL, MTUM, EWC, EEM, VGK"
89,11000111100,-1.9030759310781082,"(0, 1, 5, 6, 7, 8)","SGOV, BIL, MTUM, SPY, EWC, EEM"
90,11010000111,-1.8960387032901962,"(0, 1, 3, 8, 9, 10)","SGOV, BIL, QQQ, EEM, VGK, USMV"
91,11001101010,-1.8907481795326944,"(0, 1, 4, 5, 7, 9)","SGOV, BIL, VUG, MTUM, EWC, VGK"
92,11010010101,-1.8888932303248458,"(0, 1, 3, 6, 8, 10)","SGOV, BIL, QQQ, SPY, EEM, USMV"
93,11001111000,-1.8830370082331447,"(0, 1, 4, 5, 6, 7)","SGOV, BIL, VUG, MTUM, SPY, EWC"
94,11011000011,-1.8604762445803757,"(0, 1, 3, 4, 9, 10)","SGOV, BIL, QQQ, VUG, VGK, USMV"
95,11001100110,-1.8537644347884856,"(0, 1, 4, 5, 8, 9)","SGOV, BIL, VUG, MTUM, EEM, VGK"
96,11011010001,-1.848185465698807,"(0, 1, 3, 4, 6, 10)","SGOV, BIL, QQQ, VUG, SPY, USMV"
97,11001110100,-1.8458944356141322,"(0, 1, 4, 5, 6, 8)","SGOV, BIL, VUG, MTUM, SPY, EEM"
98,11001001110,-1.8437627722782755,"(0, 1, 4, 7, 8, 9)","SGOV, BIL, VUG, EWC, EEM, VGK"
99,11001011100,-1.8376316332824691,"(0, 1, 4, 6, 7, 8)","SGOV, BIL, VUG, SPY, EWC, EEM"
100,11010101001,-1.8327327463965992,"(0, 1, 3, 5, 7, 10)","SGOV, BIL, QQQ, MTUM, EWC, USMV"
101,11010100101,-1.7964762377438088,"(0, 1, 3, 5, 8, 10)","SGOV, BIL, QQQ, MTUM, EEM, USMV"
102,11010001101,-1.7915685899261744,"(0, 1, 3, 7, 8, 10)","SGOV, BIL, QQQ, EWC, EEM, USMV"
103,11010110010,-1.7877087845872532,"(0, 1, 3, 5, 6, 9)","SGOV, BIL, QQQ, MTUM, SPY, VGK"
104,11010011010,-1.7857544726273655,"(0, 1, 3, 6, 7, 9)","SGOV, BIL, QQQ, SPY, EWC, VGK"
105,11010010110,-1.7495570336209587,"(0, 1, 3, 6, 8, 9)","SGOV, BIL, QQQ, SPY, EEM, VGK"
106,11001101100,-1.7484907061387163,"(0, 1, 4, 5, 7, 8)","SGOV, BIL, VUG, MTUM, EWC, EEM"
107,11011001001,-1.7471739180815473,"(0, 1, 3, 4, 7, 10)","SGOV, BIL, QQQ, VUG, EWC, USMV"
108,11011100001,-1.744720366875467,"(0, 1, 3, 4, 5, 10)","SGOV, BIL, QQQ, VUG, MTUM, USMV"
109,11011000101,-1.7122715406613032,"(0, 1, 3, 4, 8, 10)","SGOV, BIL, QQQ, VUG, EEM, USMV"
110,11011010010,-1.6983413004979662,"(0, 1, 3, 4, 6, 9)","SGOV, BIL, QQQ, VUG, SPY, VGK"
111,11010101010,-1.6874426705589718,"(0, 1, 3, 5, 7, 9)","SGOV, BIL, QQQ, MTUM, EWC, VGK"
112,11010111000,-1.6733544723172762,"(0, 1, 3, 5, 6, 7)","SGOV, BIL, QQQ, MTUM, SPY, EWC"
113,11010100110,-1.6518095842101026,"(0, 1, 3, 5, 8, 9)","SGOV, BIL, QQQ, MTUM, EEM, VGK"
114,11010001110,-1.6505546179275035,"(0, 1, 3, 7, 8, 9)","SGOV, BIL, QQQ, EWC, EEM, VGK"
115,11010011100,-1.6380464519895526,"(0, 1, 3, 6, 7, 8)","SGOV, BIL, QQQ, SPY, EWC, EEM"
116,11010110100,-1.6375625580936042,"(0, 1, 3, 5, 6, 8)","SGOV, BIL, QQQ, MTUM, SPY, EEM"
117,11011001010,-1.5956519775859253,"(0, 1, 3, 4, 7, 9)","SGOV, BIL, QQQ, VUG, EWC, VGK"
118,11011100010,-1.5895457448448091,"(0, 1, 3, 4, 5, 9)","SGOV, BIL, QQQ, VUG, MTUM, VGK"
119,11011011000,-1.5779985057317534,"(0, 1, 3, 4, 6, 7)","SGOV, BIL, QQQ, VUG, SPY, EWC"
120,11011110000,-1.5701534128120906,"(0, 1, 3, 4, 5, 6)","SGOV, BIL, QQQ, VUG, MTUM, SPY"
121,11011000110,-1.5613730224696027,"(0, 1, 3, 4, 8, 9)","SGOV, BIL, QQQ, VUG, EEM, VGK"
122,11011010100,-1.543560722740628,"(0, 1, 3, 4, 6, 8)","SGOV, BIL, QQQ, VUG, SPY, EEM"
123,11010101100,-1.535850285865112,"(0, 1, 3, 5, 7, 8)","SGOV, BIL, QQQ, MTUM, EWC, EEM"
124,11011101000,-1.464754233365011,"(0, 1, 3, 4, 5, 7)","SGOV, BIL, QQQ, VUG, MTUM, EWC"
125,11011001100,-1.439425241628375,"(0, 1, 3, 4, 7, 8)","SGOV, BIL, QQQ, VUG, EWC, EEM"
126,11011100100,-1.4308808030314233,"(0, 1, 3, 4, 5, 8)","SGOV, BIL, QQQ, VUG, MTUM, EEM"
127,10100110011,-1.4297642418093393,"(0, 2, 5, 6, 9, 10)","SGOV, SHY, MTUM, SPY, VGK, USMV"
128,10100011011,-1.4186074021763297,"(0, 2, 6, 7, 9, 10)","SGOV, SHY, SPY, EWC, VGK, USMV"
129,10100010111,-1.3820320417400742,"(0, 2, 6, 8, 9, 10)","SGOV, SHY, SPY, EEM, VGK, USMV"
130,10101010011,-1.3558958424414271,"(0, 2, 4, 6, 9, 10)","SGOV, SHY, VUG, SPY, VGK, USMV"
131,10100101011,-1.3335555810075932,"(0, 2, 5, 7, 9, 10)","SGOV, SHY, MTUM, EWC, VGK, USMV"
132,10100111001,-1.3271147256895284,"(0, 2, 5, 6, 7, 10)","SGOV, SHY, MTUM, SPY, EWC, USMV"
133,10100100111,-1.2975445732288757,"(0, 2, 5, 8, 9, 10)","SGOV, SHY, MTUM, EEM, VGK, USMV"
134,10100110101,-1.2909448900360068,"(0, 2, 5, 6, 8, 10)","SGOV, SHY, MTUM, SPY, EEM, USMV"
135,10100001111,-1.2870870792731561,"(0, 2, 7, 8, 9, 10)","SGOV, SHY, EWC, EEM, VGK, USMV"
136,10100011101,-1.2822262562588334,"(0, 2, 6, 7, 8, 10)","SGOV, SHY, SPY, EWC, EEM, USMV"
137,10101100011,-1.2603602676879255,"(0, 2, 4, 5, 9, 10)","SGOV, SHY, VUG, MTUM, VGK, USMV"
138,10101001011,-1.2572639727559207,"(0, 2, 4, 7, 9, 10)","SGOV, SHY, VUG, EWC, VGK, USMV"
139,10101110001,-1.248615278578837,"(0, 2, 4, 5, 6, 10)","SGOV, SHY, VUG, MTUM, SPY, USMV"
140,10101011001,-1.2472578438253792,"(0, 2, 4, 6, 7, 10)","SGOV, SHY, VUG, SPY, EWC, USMV"
141,10101000111,-1.2226070962097495,"(0, 2, 4, 8, 9, 10)","SGOV, SHY, VUG, EEM, VGK, USMV"
142,10101010101,-1.2124421394044047,"(0, 2, 4, 6, 8, 10)","SGOV, SHY, VUG, SPY, EEM, USMV"
143,10100101101,-1.19329007103405,"(0, 2, 5, 7, 8, 10)","SGOV, SHY, MTUM, EWC, EEM, USMV"
144,10100111010,-1.186801931368183,"(0, 2, 5, 6, 7, 9)","SGOV, SHY, MTUM, SPY, EWC, VGK"
145,10100110110,-1.151255518018584,"(0, 2, 5, 6, 8, 9)","SGOV, SHY, MTUM, SPY, EEM, VGK"
146,10101101001,-1.147273552358294,"(0, 2, 4, 5, 7, 10)","SGOV, SHY, VUG, MTUM, EWC, USMV"
147,10100011110,-1.1461895657764472,"(0, 2, 6, 7, 8, 9)","SGOV, SHY, SPY, EWC, EEM, VGK"
148,10110010011,-1.1417939187683706,"(0, 2, 3, 6, 9, 10)","SGOV, SHY, QQQ, SPY, VGK, USMV"
149,10101100101,-1.1130222005948567,"(0, 2, 4, 5, 8, 10)","SGOV, SHY, VUG, MTUM, EEM, USMV"
150,10101001101,-1.112364111518688,"(0, 2, 4, 7, 8, 10)","SGOV, SHY, VUG, EWC, EEM, USMV"
151,10101011010,-1.1007131848460396,"(0, 2, 4, 6, 7, 9)","SGOV, SHY, VUG, SPY, EWC, VGK"
152,10101110010,-1.0984179380644612,"(0, 2, 4, 5, 6, 9)","SGOV, SHY, VUG, MTUM, SPY, VGK"
153,10101010110,-1.0665209027289873,"(0, 2, 4, 6, 8, 9)","SGOV, SHY, VUG, SPY, EEM, VGK"
154,10100101110,-1.0519229237218446,"(0, 2, 5, 7, 8, 9)","SGOV, SHY, MTUM, EWC, EEM, VGK"
155,10100111100,-1.0399605475563733,"(0, 2, 5, 6, 7, 8)","SGOV, SHY, MTUM, SPY, EWC, EEM"
156,10110001011,-1.0388535063297888,"(0, 2, 3, 7, 9, 10)","SGOV, SHY, QQQ, EWC, VGK, USMV"
157,10110100011,-1.033203105034183,"(0, 2, 3, 5, 9, 10)","SGOV, SHY, QQQ, MTUM, VGK, USMV"
158,10110011001,-1.0224703504571022,"(0, 2, 3, 6, 7, 10)","SGOV, SHY, QQQ, SPY, EWC, USMV"
159,10110110001,-1.015081088982949,"(0, 2, 3, 5, 6, 10)","SGOV, SHY, QQQ, MTUM, SPY, USMV"
160,10110000111,-1.005547288178958,"(0, 2, 3, 8, 9, 10)","SGOV, SHY, QQQ, EEM, VGK, USMV"
161,10101101010,-0.9953984365491362,"(0, 2, 4, 5, 7, 9)","SGOV, SHY, VUG, MTUM, EWC, VGK"
162,10110010101,-0.9890053044314668,"(0, 2, 3, 6, 8, 10)","SGOV, SHY, QQQ, SPY, EEM, USMV"
163,10101111000,-0.9782907544674444,"(0, 2, 4, 5, 6, 7)","SGOV, SHY, VUG, MTUM, SPY, EWC"
164,10101001110,-0.964765099548488,"(0, 2, 4, 7, 8, 9)","SGOV, SHY, VUG, EWC, EEM, VGK"
165,10101100110,-0.961770507089621,"(0, 2, 4, 5, 8, 9)","SGOV, SHY, VUG, MTUM, EEM, VGK"
166,10101011100,-0.94923744977054,"(0, 2, 4, 6, 7, 8)","SGOV, SHY, VUG, SPY, EWC, EEM"
167,10101110100,-0.9445039971331259,"(0, 2, 4, 5, 6, 8)","SGOV, SHY, VUG, MTUM, SPY, EEM"
168,10111000011,-0.9283539592251735,"(0, 2, 3, 4, 9, 10)","SGOV, SHY, QQQ, VUG, VGK, USMV"
169,10110101001,-0.9094308200093297,"(0, 2, 3, 5, 7, 10)","SGOV, SHY, QQQ, MTUM, EWC, USMV"
170,10111010001,-0.9066666695614631,"(0, 2, 3, 4, 6, 10)","SGOV, SHY, QQQ, VUG, SPY, USMV"
171,10110001101,-0.8846187337926752,"(0, 2, 3, 7, 8, 10)","SGOV, SHY, QQQ, EWC, EEM, USMV"
172,10110100101,-0.8765301266412324,"(0, 2, 3, 5, 8, 10)","SGOV, SHY, QQQ, MTUM, EEM, USMV"
173,10110011010,-0.8632437820395977,"(0, 2, 3, 6, 7, 9)","SGOV, SHY, QQQ, SPY, EWC, VGK"
174,10110110010,-0.8522018390304087,"(0, 2, 3, 5, 6, 9)","SGOV, SHY, QQQ, MTUM, SPY, VGK"
175,10101101100,-0.8400383374175902,"(0, 2, 4, 5, 7, 8)","SGOV, SHY, VUG, MTUM, EWC, EEM"
176,10110010110,-0.830402158317884,"(0, 2, 3, 6, 8, 9)","SGOV, SHY, QQQ, SPY, EEM, VGK"
177,10111001001,-0.7985931917040836,"(0, 2, 3, 4, 7, 10)","SGOV, SHY, QQQ, VUG, EWC, USMV"
178,10111100001,-0.783143385528926,"(0, 2, 3, 4, 5, 10)","SGOV, SHY, QQQ, VUG, MTUM, USMV"
179,10111000101,-0.767046629568533,"(0, 2, 3, 4, 8, 10)","SGOV, SHY, QQQ, VUG, EEM, USMV"
